Estado,Habitantes
Aguascalientes,191635
Baja California,565680
Baja California Sur,124316
Campeche,134445
Coahuila de Zaragoza,438321
Colima,105745
Chiapas,702067
Chihuahua,515652
Ciudad de Mexico,1376157
Durango,233806
Guanajuato,846275
Guerrero,431277
Hidalgo,432458
Jalisco,1152762
Estado de Mexico,2451385
Michoacan de Ocampo,617737
Morelos,266533
Nayarit,166537
Nuevo Leon,836109
Oaxaca,535974
Puebla,882953
Queretaro,348471
Quintana Roo,298203
San Luis Potosi,372143
Sinaloa,409849
Sonora,410895
Tabasco,347078
Tamaulipas,505857
Tlaxcala,184344
Veracruz de Ignacio de la Llave,1096458
Yucatan,335330
Zacatecas,207410
